song_id,title,artist,lyrics
69344197,Beatles,Pereza,"Todo lo haces mal,
controla un poco, corazón.
Para los demás,
fuimos como un foco de calor.
Pero yo sé lo que hay,
y estoy loco,
tienes telaa
No me creo la mitad
tú tampoco.
Muérete ya
C'est la vie, get the live.
Desde hace tiempo si me permites
todo me sale genial
Me siento más cerca de los Beatles
Que de tus discos de jazz
Siii
Fuimos a bailar
el sitio no te convenció
Nada de brindar
pero aún quedaba lo mejor
Nos marchamos a una fiesta
en su moto
En Barna todos tienen vespa
Gente guapa,
lo más cool de la foto
El chico no puede pasar.
Desde hace tiempo si me permites
todo me sale genial
Me siento más cerca de los Beatles
Que de tus discos de jazz.
Desde hace tiempo si me permites
todo va fenomenal
Me sienta tan bien que no me invites
Desde hace tiempo si me permites
todo me sale genial
Me siento más cerca de los Beatles
Que de tus discos de jazz
Desde hace tiempo si me permites
todo va fenomenal
Me sienta tan bien que no me invites
(Gracias a Laura por esta letra)"
769695374,Beatles,Kathryn Williams,"Our lives were like lines on a map
You could measure us by comparison
She found out if she took off her clothes
She could score men by embarrassment
We were nodding dogs in her company
And she hitch hiked through houses
Going nowhere on the sign
But then she'd leave the sign behind
And she said there was no music
Before i came along
They changed my brain
And I made the beatles appear
I made the beatles appear
Out of nowhere
You can drop me off here
Seeing me at the side of the road
With all the wheel trims
You'd guess my old life comes with me a story for you
But i made the beatles
And I could even invent you"
